idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000285977.1	0	0	0	0	1.1699	0	0	0	0	0	0	0	0	0.9042	0
ENSG00000285978.1	6.0829	5.2269	5.8306	5.8807	5.1116	5.2222	4.5768	5.6509	5.6958	5.9399	5.5051	5.2994	5.5153	5.3362	5.6714
ENSG00000285979.1	8.9018	8.5644	8.8716	8.8716	8.8712	8.4417	8.8419	9.1505	8.832	8.0313	8.4621	9.1816	8.782	9.0119	9.2112
ENSG00000285980.2	3.3799	2.7197	4.2284	2.3696	1.8021	3.3035	3.6912	0	1.4258	2.4101	3.4265	2.0694	2.1791	3.2808	3.5875
ENSG00000285981.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285982.1	3.1811	2.7791	2.9939	4.0479	4.6476	2.7444	4.3377	0	3.8568	2.9266	4.4987	2.9294	4.5886	4.7186	0
ENSG00000285984.1	1.5218	0	0	0	1.1699	0	0	0	0	0	0	1.0466	0.9136	0	0
ENSG00000285985.1	0	0	0	0	0	0.9909	0	0	0	0	0	0	0	0	0
ENSG00000285986.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285987.1	4.007	3.8811	4.3887	4.088	4.6981	1.5678	2.9279	4.0689	3.9558	3.8538	1.8756	4.2669	3.3581	4.1024	4.752
ENSG00000285988.1	0	0	0	0	0	0	0	0	0	0.953	0	0	0	0	0
ENSG00000285989.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285990.1	0	0	0	0	1.2586	1.4086	1.1097	0	0	0	1.1358	0	2.6094	1.2516	0
ENSG00000285991.1	3.8974	5.9158	4.2885	4.8295	5.0209	5.882	6.1234	5.6204	5.6659	4.9179	5.9542	5.8902	4.8275	5.8049	5.4396
ENSG00000285992.1	0	0	0	0	0	0	0	0	0	0	0	0	0.9136	0	0
ENSG00000285993.1	1.5218	1.5104	0	1.0312	0	1.9863	2.7006	2.6481	0	1.6554	2.8538	1.0466	1.4638	1.8538	1.2495
ENSG00000285994.1	7.832	7.7346	8.0715	7.9715	7.7403	6.4419	7.3724	9.1705	7.6227	6.9008	5.6148	7.2111	7.5325	7.8624	7.2685
ENSG00000285996.1	5.7632	4.718	4.7494	4.4188	4.8091	5.2922	5.3646	5.6306	4.2432	4.4966	5.5151	5.7901	4.9072	5.5655	5.1468
ENSG00000285997.1	0	0	0	0	0	0.9909	0	0	0	0	0	0	0	0	0
ENSG00000285998.1	0.9565	0	0	0	0	0	0	0	0	0	0	0	0	0	0
